Label,Dist CenterA-CenterB,Dist min EdgeA-EdgeB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
ObjA1_ObjB22,111.515,75.361,87.480,99.960
ObjA2_ObjB8,22.698,17.485,20.177,19.884
ObjA3_ObjB46,46.569,36.754,44.328,38.966
ObjA4_ObjB45,64.077,0.000,8.992,2.112
ObjA5_ObjB1,128.034,31.135,33.493,125.766
ObjA6_ObjB34,65.170,54.852,63.677,56.230
ObjA7_ObjB21,100.789,97.233,99.113,98.890
ObjA8_ObjB24,63.983,59.449,62.409,61.385
ObjA9_ObjB32,68.324,64.807,66.761,66.303
ObjA10_ObjB1,26.620,0.000,20.678,20.102
ObjA11_ObjB29,41.024,33.278,37.857,36.477
ObjA12_ObjB29,27.406,21.765,23.538,25.642
ObjA13_ObjB22,88.589,60.558,63.075,86.183
ObjA14_ObjB29,46.203,40.326,42.371,44.087
ObjA15_ObjB1,112.818,15.533,16.362,111.419
ObjA16_ObjB1,112.821,0.000,2.734,110.819
ObjA17_ObjB42,86.216,53.199,82.236,56.811
ObjA18_ObjB18,92.816,87.466,90.599,89.615
ObjA19_ObjB32,81.983,58.861,80.680,59.955
ObjA20_ObjB22,83.036,54.265,56.533,80.835
ObjA21_ObjB22,44.547,9.905,18.240,36.414
ObjA22_ObjB46,28.255,22.970,25.764,25.397
ObjA23_ObjB13,61.378,50.752,58.638,53.517
ObjA24_ObjB46,20.101,14.554,17.490,17.166
ObjA25_ObjB1,98.752,2.676,5.903,96.306
ObjA26_ObjB1,107.006,9.647,10.504,105.622
ObjA27_ObjB40,21.354,16.053,19.634,16.995
ObjA28_ObjB35,39.033,31.579,34.797,35.760
ObjA29_ObjB1,114.436,10.423,12.538,112.505
ObjA30_ObjB13,59.112,3.784,54.269,9.484
ObjA31_ObjB34,73.727,70.576,71.307,73.023
ObjA32_ObjB19,12.923,0.000,4.338,7.859
ObjA33_ObjB1,127.821,34.782,38.801,123.974
ObjA34_ObjB37,21.746,11.407,16.941,16.086
ObjA35_ObjB10,62.403,53.219,55.799,59.796
ObjA36_ObjB37,18.545,13.378,15.295,16.448
ObjA37_ObjB1,116.194,11.031,12.578,114.609
ObjA38_ObjB24,74.542,63.517,71.832,66.159
ObjA39_ObjB42,71.028,62.403,66.917,66.539
